trade_id,symbol,direction,market_type,pullback_mode,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,low_distance_to_u,high_distance_to_l,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
1,BNBUSDT,LONG,spot,INTRABAND_PENETRATION,2024-01-03 15:45:00+00:00,316.0381,314.7506,4.7681,2024-01-03 16:00:00+00:00,319.6,2024-01-03 17:15:00+00:00,317.7,-0.538123,0.0,2024-01-03 17:30:00+00:00,317.8588,12.30946,3912.67,313.7969,313.7969,0,2024-01-03 18:30:00+00:00,313.3262,STOP_LOSS,4,-55.79,3.1301,3.0855,7.7417,-62.01,-1.24
2,BNBUSDT,LONG,spot,INTRABAND_PENETRATION,2024-01-03 20:45:00+00:00,316.0413,315.5493,2.4008,2024-01-03 21:15:00+00:00,317.5,2024-01-03 22:15:00+00:00,316.1,-0.241266,0.0,2024-01-03 22:30:00+00:00,316.2581,31.109439,9838.61,315.0692,315.0692,0,2024-01-03 22:45:00+00:00,314.5966,STOP_LOSS,1,-51.69,7.8709,7.8295,19.5997,-67.39,-1.822
3,BNBUSDT,LONG,spot,INTRABAND_PENETRATION,2024-01-04 13:30:00+00:00,318.386,317.6247,1.8524,2024-01-04 14:30:00+00:00,320.1,2024-01-04 16:15:00+00:00,318.4,-0.385963,0.0,2024-01-04 16:30:00+00:00,318.4591,30.684927,9771.9,317.2542,318.8401,3,2024-01-04 19:30:00+00:00,318.3618,TRAILING_STOP,12,-2.99,7.8175,7.8151,19.5393,-18.62,-0.504
4,ETHUSDT,LONG,spot,INTRABAND_PENETRATION,2024-01-07 06:45:00+00:00,2245.7876,2243.5601,4.4797,2024-01-07 07:00:00+00:00,2249.58,2024-01-07 08:15:00+00:00,2251.0,-0.307563,0.0,2024-01-07 08:30:00+00:00,2252.1155,4.330801,9753.46,2242.6641,2242.6641,0,2024-01-07 08:45:00+00:00,2239.3001,STOP_LOSS,1,-55.5,7.8028,7.7584,19.4237,-71.06,-1.736
5,BNBUSDT,LONG,spot,INTRABAND_PENETRATION,2024-01-10 01:00:00+00:00,301.3503,300.906,1.794,2024-01-10 01:15:00+00:00,302.3,2024-01-10 01:30:00+00:00,301.4,-0.05035,0.0,2024-01-10 01:45:00+00:00,301.5507,32.111058,9683.11,300.5472,300.5472,0,2024-01-10 02:45:00+00:00,300.0964,STOP_LOSS,4,-46.7,7.7465,7.7091,19.2962,-62.15,-1.929
6,BNBUSDT,LONG,spot,INTRABAND_PENETRATION,2024-01-12 09:45:00+00:00,309.4059,308.7638,1.4228,2024-01-12 11:15:00+00:00,311.1,2024-01-12 12:45:00+00:00,311.3,-0.005942,0.0,2024-01-12 13:00:00+00:00,311.5557,15.795312,4921.12,308.4792,308.4792,0,2024-01-12 15:15:00+00:00,308.0165,STOP_LOSS,9,-55.9,3.9369,3.8922,9.7584,-63.73,-1.312
7,SOLUSDT,LONG,spot,INTRABAND_PENETRATION,2024-01-16 03:30:00+00:00,95.4017,95.2355,0.5312,2024-01-16 03:45:00+00:00,96.19,2024-01-16 05:45:00+00:00,95.46,-0.001721,0.0,2024-01-16 06:00:00+00:00,95.5077,100.080738,9558.48,95.1293,97.0286,4,2024-01-16 08:00:00+00:00,96.8831,TRAILING_STOP,8,137.65,7.6468,7.7569,19.3234,122.24,3.227
8,ETHUSDT,LONG,spot,INTRABAND_PENETRATION,2024-01-16 08:45:00+00:00,2530.4663,2526.4373,8.7213,2024-01-16 09:00:00+00:00,2539.14,2024-01-16 10:30:00+00:00,2533.25,-0.776322,0.0,2024-01-16 10:45:00+00:00,2534.5266,3.819059,9679.51,2524.693,2524.693,0,2024-01-16 11:30:00+00:00,2520.906,STOP_LOSS,3,-52.02,7.7436,7.702,19.281,-67.46,-1.796
9,SOLUSDT,LONG,spot,INTRABAND_PENETRATION,2024-01-16 15:30:00+00:00,96.4823,96.1452,1.0238,2024-01-16 15:45:00+00:00,97.25,2024-01-16 17:00:00+00:00,96.52,-0.072251,0.0,2024-01-16 17:15:00+00:00,96.5583,78.580993,7587.64,95.9404,97.6449,17,2024-01-16 23:15:00+00:00,97.4984,TRAILING_STOP,24,73.88,6.0701,6.1292,15.2861,61.68,1.27
10,BNBUSDT,LONG,spot,INTRABAND_PENETRATION,2024-01-19 19:30:00+00:00,311.9715,311.6366,1.5947,2024-01-19 19:45:00+00:00,313.7,2024-01-19 21:15:00+00:00,312.0,-0.171461,0.0,2024-01-19 21:30:00+00:00,312.0559,31.000144,9673.78,311.3176,313.6211,8,2024-01-20 00:45:00+00:00,313.1506,TRAILING_STOP,13,33.93,7.739,7.7662,19.3985,18.43,0.805
